order_date,store_name,store_type,city,state,product_name,category,quantity,unit_price,total_amount,channel,return_reason
2023-01-17,Shah General,Kirana,Rajkot,Gujarat,NexaGold Sunflower Oil 5L,Edible Oil,17,350,5950,Offline,
2023-01-09,Patil General,Kirana,Solapur,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,34,280,9520,Offline,
2023-01-02,Apte Traders,Kirana,Nagpur,Maharashtra,NexaGold Turmeric 200g,Spices,2,70,140,Online,
2023-01-09,Shah General,Kirana,Rajkot,Gujarat,NexaFresh Mixed Fruit 1L,Beverages,4,350,1400,Offline,
2023-01-19,Reliance Fresh Baner,Supermarket,Aurangabad,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,19,50,950,Offline,
2023-01-02,Chavan Traders,Kirana,Kolhapur,Maharashtra,NexaGold Red Chilli 200g,Spices,30,50,1500,Offline,Damaged
2023-01-21,Mishra Provisions,Kirana,Kolhapur,Maharashtra,NexaCrunch Chips 100g,Snacks,7,280,1960,Offline,
2023-01-07,Mehta Kirana,Kirana,Vadodara,Gujarat,NexaGold Groundnut Oil 1L,Edible Oil,28,350,9800,Offline,Damaged
2023-01-09,Kulkarni Store,Kirana,Ahmedabad,Gujarat,NexaCrunch Chips 100g,Snacks,32,30,960,Online,
2023-01-09,Joshi Traders,Kirana,Kolhapur,Maharashtra,NexaClean Dishwash 500ml,Household,38,350,13300,Offline,Damaged
2023-01-26,D-Mart Hinjewadi,Supermarket,Aurangabad,Maharashtra,NexaCrunch Chips 100g,Snacks,29,50,1450,Offline,
2023-01-13,D-Mart Hinjewadi,Supermarket,Nagpur,Maharashtra,NexaGold Garam Masala 100g,Spices,6,70,420,Offline,
2023-01-02,Gaikwad Store,Kirana,Nashik,Maharashtra,NexaGold Wheat Atta 5kg,Atta,10,280,2800,Offline,
2023-01-06,Modi Kirana,Kirana,Nashik,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,26,550,14300,Online,Late Delivery
2023-01-07,Gokhale Provisions,Kirana,Aurangabad,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,19,30,570,Offline,Wrong Item
2023-01-09,Pandey Store,Kirana,Nashik,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,24,350,8400,Online,Wrong Item
2023-01-10,Kulkarni Store,Kirana,Vadodara,Gujarat,NexaCrunch Namkeen 150g,Snacks,3,350,1050,Offline,
2023-01-15,Kulkarni Store,Kirana,Nagpur,Maharashtra,NexaClean Floor Cleaner 1L,Household,36,350,12600,Offline,
2023-01-20,D-Mart Aundh,Supermarket,Kolhapur,Maharashtra,NexaGold Toor Dal 1kg,Dal,28,350,9800,Online,
2023-01-13,Sawant Traders,Kirana,Rajkot,Gujarat,NexaGold Wheat Atta 5kg,Atta,29,30,870,Offline,
2023-01-02,Parmar General,Kirana,Nagpur,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,13,140,1820,Online,
2023-01-11,Pandey Store,Kirana,Solapur,Maharashtra,NexaGold Chana Dal 1kg,Dal,6,30,180,Online,Damaged
2023-01-02,Bhat Store,Kirana,Nagpur,Maharashtra,NexaCare Shampoo 200ml,Personal Care,8,280,2240,Offline,
2023-01-14,Mehta Kirana,Kirana,Ahmedabad,Gujarat,NexaGold Red Chilli 200g,Spices,37,280,10360,Offline,Damaged
2023-01-07,Star Bazaar Pune,Supermarket,Vadodara,Gujarat,NexaCare Shampoo 200ml,Personal Care,39,280,10920,Online,
2023-01-19,Sharma Kirana,Kirana,Rajkot,Gujarat,NexaCrunch Namkeen 150g,Snacks,18,50,900,Offline,
2023-01-12,Gokhale Provisions,Kirana,Nashik,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,37,30,1110,Offline,
2023-01-06,Rajput Provisions,Kirana,Pune,Maharashtra,NexaCare Shampoo 200ml,Personal Care,11,140,1540,Offline,Damaged
2023-01-19,Gaikwad Store,Kirana,Rajkot,Gujarat,NexaGold Sunflower Oil 5L,Edible Oil,17,70,1190,Online,
2023-01-11,Rajput Provisions,Kirana,Vadodara,Gujarat,NexaGold Moong Dal 1kg,Dal,5,50,250,Online,
2023-01-24,Patil General,Kirana,Pune,Maharashtra,NexaGold Chana Dal 1kg,Dal,32,110,3520,Offline,
2023-01-13,Mehta Kirana,Kirana,Solapur,Maharashtra,NexaCrunch Mixture 200g,Snacks,31,550,17050,Offline,
2023-01-15,Bhosale Provisions,Kirana,Rajkot,Gujarat,NexaGold Sunflower Oil 5L,Edible Oil,5,30,150,Offline,Late Delivery
2023-01-23,Deshmukh Provisions,Kirana,Nashik,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,26,70,1820,Offline,
2023-01-07,Desai Provisions,Kirana,Rajkot,Gujarat,NexaFresh Mango Juice 1L,Beverages,6,550,3300,Online,
2023-01-15,D-Mart Kothrud,Supermarket,Nashik,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,34,70,2380,Offline,
2023-01-26,Star Bazaar Pune,Supermarket,Nashik,Maharashtra,NexaCare Soap 100g,Personal Care,28,140,3920,Offline,
2023-01-20,Yadav General,Kirana,Rajkot,Gujarat,NexaGold Sunflower Oil 1L,Edible Oil,18,280,5040,Offline,
2023-01-03,Reliance Fresh Rajkot,Supermarket,Nashik,Maharashtra,NexaGold Toor Dal 1kg,Dal,16,50,800,Online,
2023-01-11,More Supermarket Viman Nagar,Supermarket,Rajkot,Gujarat,NexaGold Multigrain Atta 5kg,Atta,8,140,1120,Offline,Late Delivery
2023-01-16,Chavan Traders,Kirana,Nashik,Maharashtra,NexaGold Wheat Atta 5kg,Atta,8,110,880,Offline,
2023-01-05,D-Mart Ahmedabad SG Highway,Supermarket,Ahmedabad,Gujarat,NexaCrunch Mixture 200g,Snacks,27,280,7560,Offline,
2023-01-04,Deshmukh Provisions,Kirana,Kolhapur,Maharashtra,NexaGold Turmeric 200g,Spices,18,110,1980,Offline,
2023-01-01,Gokhale Provisions,Kirana,Ahmedabad,Gujarat,NexaGold Groundnut Oil 1L,Edible Oil,11,140,1540,Offline,
2023-01-02,Big Bazaar Vadodara,Supermarket,Kolhapur,Maharashtra,NexaCrunch Namkeen 150g,Snacks,9,550,4950,Offline,Late Delivery
2023-01-09,Bhat Store,Kirana,Nashik,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,29,70,2030,Offline,
2023-01-17,Pawar General,Kirana,Kolhapur,Maharashtra,NexaGold Chana Dal 1kg,Dal,3,550,1650,Offline,
2023-01-05,Reliance Fresh Baner,Supermarket,Nashik,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,37,50,1850,Offline,Damaged
2023-01-05,Reliance Fresh Rajkot,Supermarket,Surat,Gujarat,NexaCrunch Mixture 200g,Snacks,8,70,560,Offline,
2023-01-12,Bhosale Provisions,Kirana,Surat,Gujarat,NexaClean Floor Cleaner 1L,Household,39,550,21450,Offline,Wrong Item
2023-01-22,Parmar General,Kirana,Surat,Gujarat,NexaGold Groundnut Oil 1L,Edible Oil,8,50,400,Offline,
2023-01-18,Gupta Store,Kirana,Rajkot,Gujarat,NexaGold Chana Dal 1kg,Dal,39,140,5460,Offline,Wrong Item
2023-01-25,Sawant Traders,Kirana,Rajkot,Gujarat,NexaCare Shampoo 200ml,Personal Care,29,70,2030,Online,
2023-01-17,Shah General,Kirana,Vadodara,Gujarat,NexaGold Wheat Atta 5kg,Atta,32,30,960,Online,
2023-01-11,Deshpande Store,Kirana,Aurangabad,Maharashtra,NexaGold Red Chilli 200g,Spices,5,110,550,Online,
2023-01-08,Bhosale Provisions,Kirana,Vadodara,Gujarat,NexaCare Shampoo 200ml,Personal Care,29,110,3190,Offline,
2023-01-07,Pawar General,Kirana,Solapur,Maharashtra,NexaClean Dishwash 500ml,Household,17,110,1870,Offline,
2023-01-24,Desai Provisions,Kirana,Vadodara,Gujarat,NexaClean Dishwash 500ml,Household,31,550,17050,Offline,Late Delivery
2023-01-19,Joshi Traders,Kirana,Solapur,Maharashtra,NexaGold Turmeric 200g,Spices,19,110,2090,Offline,Damaged
2023-01-09,Reliance Fresh Rajkot,Supermarket,Vadodara,Gujarat,NexaCrunch Mixture 200g,Snacks,22,350,7700,Offline,
2023-01-18,Gupta Store,Kirana,Kolhapur,Maharashtra,NexaClean Dishwash 500ml,Household,24,550,13200,Offline,
2023-01-12,Deshmukh Provisions,Kirana,Kolhapur,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,35,70,2450,Online,
2023-01-24,Joshi Traders,Kirana,Vadodara,Gujarat,NexaClean Dishwash 500ml,Household,20,350,7000,Online,Late Delivery
2023-01-07,Modi Kirana,Kirana,Aurangabad,Maharashtra,NexaGold Chana Dal 1kg,Dal,24,140,3360,Offline,
2023-01-21,D-Mart Aundh,Supermarket,Solapur,Maharashtra,NexaGold Garam Masala 100g,Spices,20,30,600,Offline,
2023-01-19,Thakur Traders,Kirana,Kolhapur,Maharashtra,NexaCrunch Namkeen 150g,Snacks,39,30,1170,Online,
2023-01-23,Patil General,Kirana,Vadodara,Gujarat,NexaGold Sunflower Oil 1L,Edible Oil,29,140,4060,Online,
2023-01-22,Big Bazaar Vadodara,Supermarket,Vadodara,Gujarat,NexaFresh Mixed Fruit 1L,Beverages,3,30,90,Online,
2023-01-11,Star Bazaar Pune,Supermarket,Ahmedabad,Gujarat,NexaClean Dishwash 500ml,Household,37,30,1110,Offline,Damaged
2023-01-03,Star Bazaar Pune,Supermarket,Surat,Gujarat,NexaCrunch Mixture 200g,Snacks,28,110,3080,Offline,
2023-01-19,Pawar General,Kirana,Pune,Maharashtra,NexaGold Moong Dal 1kg,Dal,30,50,1500,Offline,Late Delivery
2023-01-10,Yadav General,Kirana,Nashik,Maharashtra,NexaCrunch Namkeen 150g,Snacks,24,350,8400,Offline,Late Delivery
2023-01-03,Gaikwad Store,Kirana,Surat,Gujarat,NexaClean Dishwash 500ml,Household,26,50,1300,Offline,
2023-01-09,Mehta Kirana,Kirana,Surat,Gujarat,NexaFresh Mixed Fruit 1L,Beverages,9,550,4950,Offline,Damaged
2023-01-02,D-Mart Aundh,Supermarket,Surat,Gujarat,NexaGold Wheat Atta 10kg,Atta,4,30,120,Offline,
2023-01-27,Patel Kirana,Kirana,Vadodara,Gujarat,NexaGold Sunflower Oil 5L,Edible Oil,19,70,1330,Offline,
2023-01-14,D-Mart Aundh,Supermarket,Pune,Maharashtra,NexaClean Dishwash 500ml,Household,11,350,3850,Online,
2023-01-27,Jadhav Store,Kirana,Nagpur,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,9,550,4950,Offline,
2023-01-22,D-Mart Kothrud,Supermarket,Vadodara,Gujarat,NexaGold Garam Masala 100g,Spices,38,70,2660,Online,Wrong Item
2023-01-07,Thakur Traders,Kirana,Vadodara,Gujarat,NexaFresh Mango Juice 1L,Beverages,2,70,140,Offline,
2023-01-14,Shah General,Kirana,Nagpur,Maharashtra,NexaGold Wheat Atta 10kg,Atta,24,30,720,Offline,
2023-01-16,Kulkarni Store,Kirana,Solapur,Maharashtra,NexaGold Garam Masala 100g,Spices,15,70,1050,Offline,
2023-01-03,Modi Kirana,Kirana,Vadodara,Gujarat,NexaGold Multigrain Atta 5kg,Atta,33,550,18150,Offline,
2023-01-04,Chavan Traders,Kirana,Aurangabad,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,34,50,1700,Offline,
2023-01-04,D-Mart Aundh,Supermarket,Vadodara,Gujarat,NexaClean Floor Cleaner 1L,Household,40,50,2000,Online,
2023-01-08,Pawar General,Kirana,Ahmedabad,Gujarat,NexaGold Garam Masala 100g,Spices,12,350,4200,Online,
2023-01-24,Big Bazaar Vadodara,Supermarket,Kolhapur,Maharashtra,NexaGold Wheat Atta 5kg,Atta,28,550,15400,Online,Late Delivery
2023-01-11,Gupta Store,Kirana,Surat,Gujarat,NexaGold Turmeric 200g,Spices,17,550,9350,Online,Wrong Item
2023-01-07,Joshi Traders,Kirana,Nagpur,Maharashtra,NexaGold Moong Dal 1kg,Dal,2,280,560,Online,Late Delivery
2023-01-02,Mishra Provisions,Kirana,Surat,Gujarat,NexaCare Soap 100g,Personal Care,23,350,8050,Offline,
2023-01-09,Parmar General,Kirana,Pune,Maharashtra,NexaGold Chana Dal 1kg,Dal,29,70,2030,Online,Late Delivery
2023-01-06,Gaikwad Store,Kirana,Nashik,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,29,30,870,Offline,Damaged
2023-01-17,Deshpande Store,Kirana,Surat,Gujarat,NexaGold Wheat Atta 5kg,Atta,30,30,900,Offline,
2023-01-24,Deshmukh Provisions,Kirana,Surat,Gujarat,NexaGold Turmeric 200g,Spices,30,550,16500,Offline,Late Delivery
2023-01-13,Parmar General,Kirana,Solapur,Maharashtra,NexaGold Turmeric 200g,Spices,21,110,2310,Offline,
2023-01-22,Gupta Store,Kirana,Solapur,Maharashtra,NexaCare Soap 100g,Personal Care,33,110,3630,Offline,
2023-01-06,Star Bazaar Pune,Supermarket,Pune,Maharashtra,NexaGold Garam Masala 100g,Spices,26,350,9100,Offline,
2023-01-09,Rajput Provisions,Kirana,Solapur,Maharashtra,NexaCrunch Mixture 200g,Snacks,2,350,700,Offline,Late Delivery
2023-01-10,Modi Kirana,Kirana,Nagpur,Maharashtra,NexaGold Wheat Atta 5kg,Atta,3,30,90,Offline,
2023-01-05,Nair Kirana,Kirana,Nagpur,Maharashtra,NexaClean Floor Cleaner 1L,Household,18,140,2520,Online,
2023-01-08,Shah General,Kirana,Nagpur,Maharashtra,NexaGold Wheat Atta 10kg,Atta,16,110,1760,Offline,
2023-01-09,Deshpande Store,Kirana,Aurangabad,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,11,280,3080,Offline,
2023-01-13,More Supermarket Viman Nagar,Supermarket,Ahmedabad,Gujarat,NexaGold Garam Masala 100g,Spices,22,140,3080,Offline,Damaged
2023-01-11,Reliance Fresh Rajkot,Supermarket,Nashik,Maharashtra,NexaCare Soap 100g,Personal Care,17,350,5950,Offline,
2023-01-11,D-Mart Kothrud,Supermarket,Aurangabad,Maharashtra,NexaGold Garam Masala 100g,Spices,29,280,8120,Offline,
2023-01-12,Gokhale Provisions,Kirana,Kolhapur,Maharashtra,NexaCrunch Mixture 200g,Snacks,10,550,5500,Offline,
2023-01-05,D-Mart Aundh,Supermarket,Solapur,Maharashtra,NexaGold Garam Masala 100g,Spices,12,350,4200,Offline,Wrong Item
2023-01-19,Kulkarni Store,Kirana,Solapur,Maharashtra,NexaCrunch Namkeen 150g,Snacks,30,350,10500,Offline,Wrong Item
2023-01-11,D-Mart Aundh,Supermarket,Ahmedabad,Gujarat,NexaCrunch Mixture 200g,Snacks,1,280,280,Online,
2023-01-25,Gokhale Provisions,Kirana,Solapur,Maharashtra,NexaGold Wheat Atta 5kg,Atta,7,550,3850,Offline,
2023-01-10,Chavan Traders,Kirana,Ahmedabad,Gujarat,NexaCrunch Namkeen 150g,Snacks,12,110,1320,Offline,Late Delivery
2023-01-14,Big Bazaar Vadodara,Supermarket,Nagpur,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,11,550,6050,Online,Late Delivery
2023-01-19,Patel Kirana,Kirana,Nashik,Maharashtra,NexaFresh Mango Juice 1L,Beverages,6,70,420,Online,
2023-01-12,Reliance Fresh Wakad,Supermarket,Pune,Maharashtra,NexaCrunch Mixture 200g,Snacks,20,30,600,Offline,Wrong Item
2023-01-25,Kulkarni Store,Kirana,Pune,Maharashtra,NexaGold Sunflower Oil 1L,Edible Oil,6,110,660,Offline,Wrong Item
2023-01-03,More Supermarket Viman Nagar,Supermarket,Solapur,Maharashtra,NexaCrunch Namkeen 150g,Snacks,9,550,4950,Offline,Late Delivery
2023-01-21,Kulkarni Store,Kirana,Surat,Gujarat,NexaGold Groundnut Oil 1L,Edible Oil,37,280,10360,Offline,
2023-01-16,Bhat Store,Kirana,Nagpur,Maharashtra,NexaCrunch Mixture 200g,Snacks,2,30,60,Offline,
2023-01-02,Modi Kirana,Kirana,Rajkot,Gujarat,NexaGold Chana Dal 1kg,Dal,39,350,13650,Offline,Damaged
2023-01-16,Shinde Traders,Kirana,Vadodara,Gujarat,NexaCrunch Chips 100g,Snacks,16,110,1760,Offline,Late Delivery
2023-01-21,Pandey Store,Kirana,Rajkot,Gujarat,NexaGold Chana Dal 1kg,Dal,27,50,1350,Online,Late Delivery
2023-01-08,Khare Kirana,Kirana,Surat,Gujarat,NexaGold Toor Dal 1kg,Dal,15,350,5250,Offline,
2023-01-08,Sawant Traders,Kirana,Vadodara,Gujarat,NexaGold Moong Dal 1kg,Dal,36,50,1800,Offline,
2023-01-13,Pandey Store,Kirana,Nagpur,Maharashtra,NexaGold Garam Masala 100g,Spices,28,50,1400,Offline,
2023-01-10,Mishra Provisions,Kirana,Nagpur,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,12,280,3360,Online,
2023-01-16,Rajput Provisions,Kirana,Nashik,Maharashtra,NexaGold Multigrain Atta 5kg,Atta,7,140,980,Online,Wrong Item
2023-01-04,Reliance Fresh Baner,Supermarket,Solapur,Maharashtra,NexaCrunch Chips 100g,Snacks,4,280,1120,Online,
2023-01-11,Sawant Traders,Kirana,Ahmedabad,Gujarat,NexaGold Red Chilli 200g,Spices,20,70,1400,Offline,
2023-01-09,Desai Provisions,Kirana,Nashik,Maharashtra,NexaCrunch Chips 100g,Snacks,40,140,5600,Offline,
2023-01-05,D-Mart Kothrud,Supermarket,Solapur,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,2,350,700,Online,
2023-01-07,Sawant Traders,Kirana,Kolhapur,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,34,110,3740,Offline,
2023-01-03,Kulkarni Store,Kirana,Surat,Gujarat,NexaGold Chana Dal 1kg,Dal,9,110,990,Offline,Wrong Item
2023-01-27,Khare Kirana,Kirana,Nagpur,Maharashtra,NexaCare Shampoo 200ml,Personal Care,10,550,5500,Offline,
2023-01-11,Jadhav Store,Kirana,Nashik,Maharashtra,NexaGold Sunflower Oil 1L,Edible Oil,1,110,110,Offline,
2023-01-19,D-Mart Aundh,Supermarket,Nagpur,Maharashtra,NexaGold Groundnut Oil 1L,Edible Oil,22,30,660,Online,Late Delivery
2023-01-27,Pawar General,Kirana,Vadodara,Gujarat,NexaCare Shampoo 200ml,Personal Care,33,350,11550,Offline,
2023-01-04,Reliance Fresh Wakad,Supermarket,Vadodara,Gujarat,NexaGold Wheat Atta 5kg,Atta,39,350,13650,Offline,Damaged
2023-01-16,Gupta Store,Kirana,Nagpur,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,19,350,6650,Offline,Late Delivery
2023-01-28,Reliance Fresh Wakad,Supermarket,Nagpur,Maharashtra,NexaGold Wheat Atta 10kg,Atta,38,140,5320,Offline,
2023-01-18,Reliance Fresh Rajkot,Supermarket,Vadodara,Gujarat,NexaGold Moong Dal 1kg,Dal,1,350,350,Offline,
2023-01-18,Parmar General,Kirana,Pune,Maharashtra,NexaCare Soap 100g,Personal Care,14,140,1960,Online,Late Delivery
2023-01-01,Nair Kirana,Kirana,Ahmedabad,Gujarat,NexaGold Wheat Atta 5kg,Atta,16,280,4480,Online,
2023-01-13,Kulkarni Store,Kirana,Kolhapur,Maharashtra,NexaCrunch Mixture 200g,Snacks,29,70,2030,Offline,
2023-01-05,Bhosale Provisions,Kirana,Rajkot,Gujarat,NexaCrunch Namkeen 150g,Snacks,11,50,550,Offline,
2023-01-07,Yadav General,Kirana,Aurangabad,Maharashtra,NexaGold Sunflower Oil 1L,Edible Oil,5,30,150,Offline,Late Delivery
2023-01-18,Joshi Traders,Kirana,Surat,Gujarat,NexaFresh Mixed Fruit 1L,Beverages,27,70,1890,Offline,
2023-01-20,Mehta Kirana,Kirana,Ahmedabad,Gujarat,NexaClean Floor Cleaner 1L,Household,10,110,1100,Offline,Damaged
2023-01-13,Desai Provisions,Kirana,Aurangabad,Maharashtra,NexaClean Floor Cleaner 1L,Household,27,550,14850,Offline,
2023-01-16,Parmar General,Kirana,Surat,Gujarat,NexaGold Sunflower Oil 5L,Edible Oil,14,280,3920,Offline,
2023-01-18,Gupta Store,Kirana,Kolhapur,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,40,110,4400,Offline,
2023-01-28,D-Mart Kothrud,Supermarket,Nashik,Maharashtra,NexaGold Moong Dal 1kg,Dal,30,280,8400,Offline,Late Delivery
2023-01-07,Apte Traders,Kirana,Ahmedabad,Gujarat,NexaCare Soap 100g,Personal Care,36,110,3960,Online,
2023-01-24,D-Mart Ahmedabad SG Highway,Supermarket,Surat,Gujarat,NexaGold Sunflower Oil 5L,Edible Oil,17,550,9350,Online,
2023-01-04,Gaikwad Store,Kirana,Kolhapur,Maharashtra,NexaClean Dishwash 500ml,Household,8,140,1120,Online,
2023-01-16,Gokhale Provisions,Kirana,Nashik,Maharashtra,NexaCrunch Mixture 200g,Snacks,33,30,990,Online,
2023-01-19,Sawant Traders,Kirana,Nashik,Maharashtra,NexaCare Soap 100g,Personal Care,1,70,70,Offline,Damaged
2023-01-03,Khare Kirana,Kirana,Nashik,Maharashtra,NexaFresh Mixed Fruit 1L,Beverages,17,30,510,Offline,Wrong Item
2023-01-18,Deshpande Store,Kirana,Kolhapur,Maharashtra,NexaCare Shampoo 200ml,Personal Care,14,50,700,Offline,
2023-01-26,Patil General,Kirana,Vadodara,Gujarat,NexaGold Wheat Atta 10kg,Atta,24,550,13200,Offline,
2023-01-25,Gokhale Provisions,Kirana,Nagpur,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,33,550,18150,Offline,
2023-01-19,Kulkarni Store,Kirana,Ahmedabad,Gujarat,NexaCare Shampoo 200ml,Personal Care,34,140,4760,Offline,Wrong Item
2023-01-06,Parmar General,Kirana,Pune,Maharashtra,NexaGold Chana Dal 1kg,Dal,24,140,3360,Offline,Damaged
2023-01-23,Mehta Kirana,Kirana,Vadodara,Gujarat,NexaGold Sunflower Oil 5L,Edible Oil,32,550,17600,Offline,Late Delivery
2023-01-03,Star Bazaar Pune,Supermarket,Nashik,Maharashtra,NexaGold Toor Dal 1kg,Dal,16,350,5600,Online,
2023-01-14,Patil General,Kirana,Nagpur,Maharashtra,NexaGold Toor Dal 1kg,Dal,31,50,1550,Online,Late Delivery
2023-01-23,Jadhav Store,Kirana,Kolhapur,Maharashtra,NexaCare Soap 100g,Personal Care,19,350,6650,Offline,Damaged
